symbol,date,open,close,high,low,volume,amount,prev_close
600000.SH,20240902,8.469376,8.469376,8.511722879999999,8.42702912,5000000.0,42346880.0,8.469376
600000.SH,20240903,8.469376,8.537131,8.579816655,8.42702912,5000000.0,42685655.0,8.469376
600000.SH,20240904,8.537131,8.605428,8.64845514,8.494445345,5000000.0,43027140.0,8.537131
600000.SH,20240905,8.605428,8.674272,8.717643359999999,8.56240086,5000000.0,43371360.0,8.605428
600000.SH,20240906,8.674272,8.743666,8.787384329999998,8.63090064,5000000.0,43718330.0,8.674272
600000.SH,20240909,8.743666,8.813615,8.857683074999999,8.699947669999998,5000000.0,44068075.0,8.743666
600000.SH,20240910,8.813615,8.884124,8.928544619999998,8.769546925,5000000.0,44420620.0,8.813615
600000.SH,20240911,8.884124,8.955197,8.999972985,8.83970338,5000000.0,44775985.0,8.884124
600000.SH,20240912,8.955197,9.026839,9.071973195,8.910421015,5000000.0,45134195.0,8.955197
600000.SH,20240913,9.026839,9.099054,9.144549269999999,8.981704805000001,5000000.0,45495270.0,9.026839
600000.SH,20240916,9.099054,9.171846,9.21770523,9.05355873,5000000.0,45859230.0,9.099054
600000.SH,20240917,9.171846,9.245221,9.291447105,9.12598677,5000000.0,46226105.00000001,9.171846
600000.SH,20240918,9.245221,9.319183,9.365778915,9.198994895,5000000.0,46595915.0,9.245221
600000.SH,20240919,9.319183,9.393736,9.44070468,9.272587085000001,5000000.0,46968680.0,9.319183
600000.SH,20240920,9.393736,9.468886,9.516230429999998,9.34676732,5000000.0,47344430.0,9.393736
600000.SH,20240923,9.468886,9.544637,9.592360184999999,9.421541569999999,5000000.0,47723185.0,9.468886
600000.SH,20240924,9.544637,9.477824,9.592360184999999,9.43043488,5000000.0,47389120.0,9.544637
600000.SH,20240925,9.477824,9.41148,9.525213119999998,9.3644226,5000000.0,47057399.99999999,9.477824
600000.SH,20240926,9.41148,9.345599,9.458537399999997,9.298871005,5000000.0,46727995.0,9.41148
600000.SH,20240927,9.345599,9.420364,9.467465819999997,9.298871005,5000000.0,47101820.0,9.345599
600000.SH,20240930,9.420364,9.495727,9.543205635,9.37326218,5000000.0,47478635.0,9.420364
600000.SH,20241001,9.495727,9.571693,9.619551464999999,9.448248365000001,5000000.0,47858465.0,9.495727
600000.SH,20241002,9.571693,9.60998,9.658029899999999,9.523834534999999,5000000.0,48049900.0,9.571693
600000.SH,20241003,9.60998,9.64842,9.6966621,9.5619301,5000000.0,48242100.0,9.60998
600000.SH,20241004,9.64842,9.687013,9.735448065,9.6001779,5000000.0,48435065.0,9.64842
600000.SH,20241007,9.687013,9.725761,9.774389804999998,9.638577935,5000000.0,48628805.0,9.687013
600000.SH,20241008,9.725761,9.764664,9.813487319999998,9.677132195,5000000.0,48823320.0,9.725761
600000.SH,20241009,9.764664,9.725606,9.813487319999998,9.676977970000001,5000000.0,48628030.00000001,9.764664
600000.SH,20241010,9.725606,9.686703,9.77423403,9.638269485,5000000.0,48433515.0,9.725606
600000.SH,20241011,9.686703,9.647956,9.735136514999999,9.599716220000001,5000000.0,48239780.0,9.686703
600000.SH,20241014,9.647956,9.734788,9.783461939999999,9.599716220000001,5000000.0,48673940.0,9.647956
600000.SH,20241015,9.734788,9.822401,9.871513004999999,9.68611406,5000000.0,49112005.0,9.734788
600000.SH,20241016,9.822401,9.910803,9.960357014999998,9.773288995,5000000.0,49554015.0,9.822401
600000.SH,20241017,9.910803,10.0,10.049999999999999,9.861248985,5000000.0,50000000.0,9.910803
600000.SH,20241018,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
600000.SH,20241021,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
600000.SH,20241022,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
600000.SH,20241023,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
600000.SH,20241024,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
600000.SH,20241025,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
600000.SH,20241028,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
600000.SH,20241029,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
600000.SH,20241030,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
600000.SH,20241031,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
600000.SH,20241101,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
600000.SH,20241104,10.0,10.0,10.049999999999999,9.95,5000000.0,50000000.0,10.0
